request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
4000,3538000,315,392732,2.0,330.6,6.9
4000,3538000,316,726620,2.0,309.6,7.4
4000,3538000,317,625288,2.0,317.0,7.6
4000,3538000,318,726244,2.0,326.7,8.8
4000,3538000,319,652736,2.0,210.0,7.7
4000,3538000,320,471504,2.0,312.9,7.0
4000,3538000,321,430332,2.0,332.3,7.8
4000,3538000,322,565692,2.0,316.3,7.6
4000,3538000,323,401568,2.0,214.5,7.0
4000,3538000,324,529032,2.0,324.7,6.9
4000,3538000,325,685448,2.0,217.4,8.0
4000,3538000,326,520008,2.0,329.8,7.2
4000,3538000,327,522452,2.0,222.0,2.5
4000,3538000,328,391792,2.0,329.6,6.7
4000,3538000,329,714400,2.0,331.6,7.9
4000,3538000,330,572460,2.0,214.3,6.7
4000,3538000,331,460976,2.0,320.1,7.5
4000,3538000,332,424504,2.0,332.7,7.5
4000,3538000,333,383332,2.0,214.6,6.8
4000,3538000,334,385212,2.014666,311.3,6.0
4000,3538000,335,542568,2.0,217.2,6.5
4000,3538000,336,689960,2.0,331.2,7.5
4000,3538000,337,446124,2.0,320.7,7.0
4000,3538000,338,707256,2.0,218.4,7.4
4000,3538000,339,576972,2.02,317.8,6.6
6000,5422000,300,1054116,2.048,540.7,6.6
6000,5422000,301,821184,2.0,324.0,7.1
6000,5422000,302,809716,2.0,314.7,7.8
6000,5422000,303,760648,2.0,315.2,6.9
6000,5422000,304,1046784,2.0,215.7,2.9
6000,5422000,305,538432,2.0,326.4,6.8
6000,5422000,306,1073292,2.0,312.1,8.0
6000,5422000,307,777568,2.0,212.0,7.2
6000,5422000,308,762528,2.0,318.2,7.2
6000,5422000,309,926088,2.0,315.3,7.7
6000,5422000,310,1035128,2.014666,321.4,8.2
6000,5422000,311,874388,2.02,202.9,6.6
6000,5422000,312,959176,2.0,315.5,8.8
6000,5422000,313,1017644,2.0,319.5,7.8
6000,5422000,314,1064832,2.0,315.5,7.5
6000,5422000,315,527716,2.0,325.6,7.1
6000,5422000,316,1108260,2.0,213.1,7.7
6000,5422000,317,912740,2.0,317.8,7.0
6000,5422000,318,1134580,2.0,322.3,8.1
6000,5422000,319,954852,2.0,219.4,8.6
6000,5422000,320,688832,2.0,320.3,7.2
6000,5422000,321,505720,2.0,214.6,7.1
6000,5422000,322,745796,2.0,326.3,8.0
6000,5422000,323,465676,2.0,214.7,7.6
6000,5422000,324,608932,2.0,312.9,7.4
6000,5422000,325,938684,2.0,322.5,7.8
6000,5422000,326,604608,2.0,221.8,6.7
6000,5422000,327,585432,2.0,327.3,7.2
6000,5422000,328,464736,2.0,329.7,7.3
6000,5422000,329,886608,2.0,205.9,8.1
6000,5422000,330,644088,2.0,316.9,6.9
6000,5422000,331,694472,2.0,323.1,7.1
6000,5422000,332,610060,2.004,209.1,7.7
6000,5422000,333,508728,2.0,321.7,7.8
6000,5422000,334,453644,2.0,212.4,7.2
6000,5422000,335,658376,2.0,324.1,7.4
6000,5422000,336,911236,2.0,327.6,7.1
6000,5422000,337,630928,2.0,217.8,5.4
6000,5422000,338,1067088,2.0,208.2,7.3
6000,5422000,339,845812,2.02,328.7,6.1
8000,7502000,300,1430116,2.044,732.9,7.0
8000,7502000,301,1148492,2.0,315.5,8.6
8000,7502000,302,1182896,2.0,316.7,6.6
8000,7502000,303,1187220,2.02,307.5,7.9
8000,7502000,304,1443652,2.0,212.8,9.2
8000,7502000,305,731320,2.0,315.0,7.3
8000,7502000,306,1475424,2.014666,323.1,9.2
8000,7502000,307,1203388,2.0,215.0,8.0
8000,7502000,308,1143416,2.0,322.9,8.3
8000,7502000,309,1393268,2.009333,317.6,7.8
8000,7502000,310,1377852,2.0,311.7,8.4
8000,7502000,311,1205644,2.0,216.8,8.6
8000,7502000,312,1300020,2.0,323.4,7.4
8000,7502000,313,1412820,2.0,326.2,6.6
8000,7502000,314,1413948,2.0,321.1,8.6
8000,7502000,315,777004,2.0,204.6,7.4
8000,7502000,316,1529756,2.0,330.1,7.8
8000,7502000,317,1235348,2.0,314.0,8.4
8000,7502000,318,1534268,2.0,217.3,8.8
8000,7502000,319,1332544,2.0,331.0,7.4
8000,7502000,320,1061448,2.0,318.9,8.4
8000,7502000,321,764032,2.0,330.2,5.6
8000,7502000,322,1045468,2.0,320.3,8.2
8000,7502000,323,600848,2.02,321.9,6.9
8000,7502000,324,868748,2.0,323.6,6.4
8000,7502000,325,1295508,2.0,211.9,8.8
8000,7502000,326,917816,2.0,316.3,8.1
8000,7502000,327,914432,2.0,310.0,5.9
8000,7502000,328,752940,2.0,330.4,7.7
8000,7502000,329,1376724,2.0,312.3,8.3
8000,7502000,330,981736,2.0,321.4,7.9
8000,7502000,331,1161652,2.0,318.7,8.5
8000,7502000,332,946392,2.004,212.1,8.2
8000,7502000,333,771928,2.0,324.3,7.5
8000,7502000,334,692592,2.0,319.3,6.4
8000,7502000,335,962184,2.0,330.2,6.9
8000,7502000,336,1381612,2.0,318.0,7.0
8000,7502000,337,726056,2.0,320.5,5.5
8000,7502000,338,1469408,2.0,321.1,8.4
8000,7502000,339,1131760,2.0,210.8,8.7
10000,9429000,300,1794084,2.044,653.0,10.5
10000,9429000,301,1403796,2.0,321.6,6.8
10000,9429000,302,1259036,2.0,314.1,8.2
10000,9429000,303,1301336,2.0,216.1,8.7
10000,9429000,304,1803108,2.0,324.0,3.5
10000,9429000,305,878524,2.0,222.4,7.4
10000,9429000,306,1720200,2.014666,320.7,9.0
10000,9429000,307,1268248,2.0,311.1,8.4
