request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
6000,5696000,10,601224,2.0,216.2,5.0
6000,5696000,11,1151688,2.02,211.2,5.4
6000,5696000,12,810468,2.004,111.4,3.1
6000,5696000,13,184992,2.009333,214.6,5.4
6000,5696000,14,145512,2.014666,211.7,5.2
6000,5696000,15,142880,2.02,313.5,4.8
6000,5696000,16,262636,2.004,211.8,5.0
6000,5696000,17,419052,2.0,219.0,4.8
6000,5696000,18,746360,2.0,213.0,5.4
6000,5696000,19,410404,2.0,213.5,4.4
6000,5696000,20,774184,2.0,219.9,4.7
6000,5696000,21,1037196,2.0,103.5,3.8
6000,5696000,22,998092,2.014666,216.7,5.7
6000,5696000,23,683004,2.02,206.6,5.3
6000,5696000,24,414164,2.0,212.3,5.3
6000,5696000,25,176908,2.009333,220.0,6.4
6000,5696000,26,128592,2.0,219.6,5.0
6000,5696000,27,171832,2.02,210.0,5.4
6000,5696000,28,130660,2.0,323.2,5.5
6000,5696000,29,134420,2.009333,217.2,4.9
6000,5696000,30,132352,2.0,210.4,4.9
6000,5696000,31,133856,2.02,327.0,5.0
6000,5696000,32,121636,2.004,213.8,5.6
6000,5696000,33,167696,2.0,218.9,5.5
6000,5696000,34,174088,2.0,214.6,5.9
6000,5696000,35,176156,2.0,215.5,5.3
6000,5696000,36,192888,2.004,321.5,4.5
6000,5696000,37,294784,2.0,214.9,5.3
6000,5696000,38,319412,2.0,214.6,5.1
6000,5696000,39,298356,2.0,213.4,5.5
8000,7515000,0,203792,2.044,441.8,6.7
8000,7515000,1,193452,2.0,112.0,5.3
8000,7515000,2,749368,2.014666,318.4,1.9
8000,7515000,3,1411128,2.02,217.6,6.0
8000,7515000,4,1213352,2.004,105.3,3.4
8000,7515000,5,574152,2.009333,216.5,5.2
8000,7515000,6,631868,2.0,212.9,6.1
8000,7515000,7,847880,2.0,108.4,6.2
8000,7515000,8,1428612,2.004,213.2,6.8
8000,7515000,9,960304,2.0,214.3,6.5
8000,7515000,10,753692,2.0,212.5,5.9
8000,7515000,11,1522988,2.0,215.6,6.0
8000,7515000,12,1039828,2.004,111.3,3.3
8000,7515000,13,202476,2.0,111.3,2.6
8000,7515000,14,161116,2.0,103.3,2.6
8000,7515000,15,163184,2.0,211.2,4.9
8000,7515000,16,299296,2.004,211.6,4.9
8000,7515000,17,487108,2.0,217.9,5.4
8000,7515000,18,873260,2.0,221.8,5.9
8000,7515000,19,463420,2.0,213.8,5.4
8000,7515000,20,988880,2.004,215.1,5.0
8000,7515000,21,1344388,2.0,111.3,4.2
8000,7515000,22,1293252,2.0,220.3,5.9
8000,7515000,23,888864,2.0,106.9,3.0
8000,7515000,24,463796,2.004,105.7,3.0
8000,7515000,25,194768,2.0,214.9,6.1
8000,7515000,26,145136,2.0,214.2,4.9
8000,7515000,27,189504,2.0,105.7,4.4
8000,7515000,28,146828,2.004,219.4,7.5
8000,7515000,29,150212,2.0,212.3,5.5
8000,7515000,30,149272,2.0,215.4,5.6
