request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
4000,3493000,1221,655932,2.005311,222.0,3.0
4000,3493000,1222,686952,2.008644,222.3,3.8
4000,3493000,1223,684508,2.011966,323.6,3.6
4000,3493000,1224,696916,2.001989,221.9,4.1
4000,3493000,1225,676800,2.018633,213.7,2.6
4000,3493000,1226,675484,2.002,321.6,2.7
4000,3493000,1227,685448,2.003966,219.8,2.5
4000,3493000,1228,682816,2.007288,217.9,2.6
4000,3493000,1229,692216,2.001989,332.5,2.9
4000,3493000,1230,677176,2.001989,222.1,3.6
4000,3493000,1231,674920,2.002,214.2,2.6
4000,3493000,1232,685448,2.002,320.9,2.6
4000,3493000,1233,689584,2.002622,213.9,2.7
4000,3493000,1234,680560,2.001989,221.1,2.9
4000,3493000,1235,673416,2.001989,313.2,2.6
4000,3493000,1236,682064,2.001989,219.0,2.6
4000,3493000,1237,670032,2.015944,315.7,2.6
4000,3493000,1238,699360,2.002,222.3,2.7
4000,3493000,1239,671536,2.0226,217.8,2.7
12000,11356000,1200,2086048,2.071022,752.3,4.1
12000,11356000,1201,2080596,2.003645,437.6,4.9
12000,11356000,1202,2089432,2.001989,324.5,3.5
12000,11356000,1203,2073076,2.001989,433.5,3.7
12000,11356000,1204,2113120,2.001989,325.2,4.4
12000,11356000,1205,2089244,2.002,424.7,4.1
12000,11356000,1206,2049764,2.002,329.1,3.0
12000,11356000,1207,2102968,2.002289,435.1,3.2
12000,11356000,1208,2092064,2.001989,321.5,3.4
12000,11356000,1209,2096012,2.001989,434.2,3.1
12000,11356000,1210,2074580,2.001989,324.6,3.7
12000,11356000,1211,2085108,2.002,426.3,4.2
12000,11356000,1212,2084356,2.002,329.2,3.5
12000,11356000,1213,2089244,2.001989,431.6,4.2
12000,11356000,1214,2068000,2.004277,329.4,3.7
12000,11356000,1215,2082852,2.001989,434.0,4.6
12000,11356000,1216,2076272,2.002,435.8,3.6
12000,11356000,1217,2093756,2.002,331.3,3.7
12000,11356000,1218,2102404,2.002,440.0,3.7
12000,11356000,1219,2063488,2.001989,330.8,5.1
12000,11356000,1220,2072888,1.960289,430.6,4.1
12000,11356000,1221,2069880,2.005311,323.9,3.0
12000,11356000,1222,2076272,2.002,440.3,4.0
12000,11356000,1223,2078152,2.001989,324.5,3.3
12000,11356000,1224,2151660,2.001989,433.5,5.2
12000,11356000,1225,2054652,2.001989,327.5,3.9
12000,11356000,1226,2079656,2.002,427.0,3.9
12000,11356000,1227,2093568,2.003966,324.3,3.4
12000,11356000,1228,2065744,2.001989,434.1,3.5
12000,11356000,1229,2152036,2.001989,331.7,3.4
12000,11356000,1230,2049388,2.001989,428.6,3.3
12000,11356000,1231,2025888,2.002,331.6,3.9
12000,11356000,1232,2132484,2.002,429.4,3.4
12000,11356000,1233,2100148,2.002622,425.1,3.7
12000,11356000,1234,2110488,2.001989,330.5,4.6
12000,11356000,1235,2061984,2.009277,430.7,3.1
12000,11356000,1236,2074768,2.001989,330.6,3.6
12000,11356000,1237,2077400,2.002,431.1,3.4
12000,11356000,1238,2108420,2.002,325.2,3.2
12000,11356000,1239,2064616,2.001989,434.3,3.5
22000,20895000,1200,3824860,2.090667,1305.7,5.2
22000,20895000,1201,3809820,2.003645,770.1,10.0
22000,20895000,1202,3823544,2.006967,871.6,4.3
22000,20895000,1203,3826740,2.0103,868.2,4.4
22000,20895000,1204,3828056,2.013633,778.5,4.9
22000,20895000,1205,3847796,2.016967,872.6,4.9
22000,20895000,1206,3765640,2.0203,863.0,4.7
22000,20895000,1207,3824484,2.002289,881.6,4.1
22000,20895000,1208,3868664,2.005622,758.2,8.4
22000,20895000,1209,3791208,2.008956,868.2,4.2
22000,20895000,1210,3853812,2.012289,757.8,4.1
22000,20895000,1211,3821476,2.015622,864.6,4.5
22000,20895000,1212,3787448,2.018956,861.7,8.8
22000,20895000,1213,3816588,2.022277,759.9,4.2
22000,20895000,1214,3761504,2.004277,864.8,4.4
22000,20895000,1215,3870168,2.00761,871.3,3.8
22000,20895000,1216,3816400,2.010944,765.8,4.7
22000,20895000,1217,3809256,2.014277,852.9,5.6
22000,20895000,1218,3845164,2.01761,886.0,5.2
22000,20895000,1219,3854188,2.020933,752.1,4.0
22000,20895000,1220,3756052,1.9816,874.7,4.1
22000,20895000,1221,3754548,2.005311,843.9,3.8
22000,20895000,1222,3875808,2.008644,766.0,3.9
22000,20895000,1223,3793088,2.011966,856.4,3.7
22000,20895000,1224,3949316,2.015299,756.5,4.7
22000,20895000,1225,3723716,2.018633,873.3,3.7
22000,20895000,1226,3804556,2.021966,860.9,3.8
22000,20895000,1227,3837832,2.003966,861.4,3.8
22000,20895000,1228,3808692,2.007288,761.7,4.5
22000,20895000,1229,3976764,2.010622,862.4,4.5
22000,20895000,1230,3709804,2.013955,881.2,4.4
22000,20895000,1231,3724656,2.017288,769.6,3.9
22000,20895000,1232,3960220,2.020622,866.7,4.3
22000,20895000,1233,3806436,2.002622,862.0,4.2
22000,20895000,1234,3854376,2.005944,761.8,4.5
22000,20895000,1235,3784252,2.009277,882.9,4.3
22000,20895000,1236,3801736,2.012611,743.9,4.0
22000,20895000,1237,3792524,2.015944,851.3,4.1
22000,20895000,1238,3825988,2.019277,873.9,3.9
22000,20895000,1239,3813956,2.0226,762.8,4.5
